Model,Size,Task,Mean,Mean%,Median,Median%,Std,Std%
SD,512,coloring,"0,2379","23,7917","0,2332","23,3200","0,0362","3,6173"
SD,512,counting,"0,2448","24,4808","0,2412","24,1150","0,0398","3,9779"
SD,512,conflicting,"0,2547","25,4725","0,2468","24,6750","0,0396","3,9554"
SD,512,text,"0,1981","19,8142","0,1919","19,1850","0,0332","3,3165"
SD,512,positional,"0,2291","22,9117","0,2247","22,4650","0,0315","3,1507"
SD,512,faces,"0,2565","25,6492","0,2576","25,7550","0,0454","4,5433"
SD,1024,coloring,"0,2317","23,1742","0,2370","23,7050","0,0349","3,4855"
SD,1024,counting,"0,2339","23,3950","0,2335","23,3550","0,0334","3,3400"
SD,1024,conflicting,"0,2316","23,1583","0,2162","21,6150","0,0435","4,3506"
SD,1024,text,"0,2090","20,8983","0,2048","20,4850","0,0211","2,1132"
SD,1024,positional,"0,2192","21,9200","0,2039","20,3900","0,0427","4,2691"
SD,1024,faces,"0,2403","24,0275","0,2211","22,1100","0,0455","4,5455"
DL,512,coloring,"0,2698","26,9750","0,2598","25,9800","0,0497","4,9717"
DL,512,counting,"0,2473","24,7258","0,2495","24,9450","0,0242","2,4207"
DL,512,conflicting,"0,2568","25,6792","0,2505","25,0450","0,0397","3,9702"
DL,512,text,"0,2531","25,3075","0,2518","25,1750","0,0263","2,6330"
DL,512,positional,"0,2539","25,3858","0,2616","26,1650","0,0305","3,0504"
DL,512,faces,"0,2583","25,8308","0,2648","26,4800","0,0339","3,3886"
DL,1024,coloring,"0,2605","26,0492","0,2414","24,1450","0,0437","4,3739"
DL,1024,counting,"0,2502","25,0200","0,2535","25,3500","0,0372","3,7224"
DL,1024,conflicting,"0,2700","27,0042","0,2832","28,3150","0,0383","3,8264"
DL,1024,text,"0,2406","24,0617","0,2355","23,5550","0,0343","3,4289"
DL,1024,positional,"0,2392","23,9217","0,2495","24,9550","0,0401","4,0142"
DL,1024,faces,"0,2461","24,6058","0,2514","25,1350","0,0364","3,6388"
PA,512,coloring,"0,2653","26,5350","0,2605","26,0500","0,0414","4,1356"
PA,512,counting,"0,2387","23,8708","0,2361","23,6100","0,0258","2,5821"
PA,512,conflicting,"0,2640","26,3967","0,2588","25,8800","0,0346","3,4557"
PA,512,text,"0,2024","20,2392","0,1961","19,6050","0,0225","2,2483"
PA,512,positional,"0,2353","23,5325","0,2425","24,2550","0,0346","3,4555"
PA,512,faces,"0,2510","25,1042","0,2533","25,3300","0,0423","4,2279"
PA,1024,coloring,"0,2707","27,0700","0,2710","27,1000","0,0449","4,4908"
PA,1024,counting,"0,2370","23,7025","0,2404","24,0350","0,0329","3,2871"
PA,1024,conflicting,"0,2531","25,3142","0,2449","24,4900","0,0390","3,8967"
PA,1024,text,"0,1957","19,5733","0,1941","19,4100","0,0300","2,9955"
PA,1024,positional,"0,2340","23,4008","0,2262","22,6200","0,0346","3,4605"
PA,1024,faces,"0,2595","25,9483","0,2691","26,9050","0,0425","4,2522"
